Team1,Team2,Map,Result
EDward Gaming,Xi Lai Gaming,Haven,1
FunPlus Phoenix,Dragon Ranger Gaming,Abyss,0
FunPlus Phoenix,Dragon Ranger Gaming,Pearl,1
FunPlus Phoenix,Dragon Ranger Gaming,Haven,0
JDG Esports,Xi Lai Gaming,Pearl,1
JDG Esports,Xi Lai Gaming,Bind,0
JDG Esports,Xi Lai Gaming,Haven,0
Nova Esports,Dragon Ranger Gaming,Pearl,0
Nova Esports,Dragon Ranger Gaming,Bind,0
Trace Esports,EDward Gaming,Lotus,1
Trace Esports,EDward Gaming,Bind,1
Paper Rex,T1,Bind,0
Paper Rex,T1,Fracture,1
Paper Rex,T1,Split,0
Bilibili Gaming,FunPlus Phoenix,Bind,1
Bilibili Gaming,FunPlus Phoenix,Lotus,1
DRX,Nongshim RedForce,Lotus,1
DRX,Nongshim RedForce,Pearl,0
DRX,Nongshim RedForce,Fracture,1
G2 Esports,Cloud9,Lotus,1
G2 Esports,Cloud9,Abyss,1
LEVIATÁN,FURIA,Haven,1
LEVIATÁN,FURIA,Split,1
Nova Esports,Wolves Esports,Fracture,1
Nova Esports,Wolves Esports,Abyss,0
Nova Esports,Wolves Esports,Split,1
DetonatioN FocusMe,Rex Regum Qeon,Abyss,1
DetonatioN FocusMe,Rex Regum Qeon,Pearl,0
DetonatioN FocusMe,Rex Regum Qeon,Haven,0
Dragon Ranger Gaming,TYLOO,Pearl,1
Dragon Ranger Gaming,TYLOO,Haven,1
Global Esports,Team Secret,Abyss,0
Global Esports,Team Secret,Split,1
Global Esports,Team Secret,Pearl,1
Sentinels,100 Thieves,Split,0
Sentinels,100 Thieves,Bind,1
Sentinels,100 Thieves,Pearl,1
KRÜ Esports,LOUD,Haven,0
KRÜ Esports,LOUD,Split,0
Xi Lai Gaming,All Gamers,Abyss,0
Xi Lai Gaming,All Gamers,Bind,1
Xi Lai Gaming,All Gamers,Lotus,1
ZETA DIVISION,Nongshim RedForce,Split,0
ZETA DIVISION,Nongshim RedForce,Haven,0
Titan Esports Club,JDG Esports,Fracture,0
Titan Esports Club,JDG Esports,Abyss,0
BOOM Esports,T1,Pearl,0
BOOM Esports,T1,Bind,1
BOOM Esports,T1,Fracture,0
NRG Esports,Cloud9,Fracture,0
NRG Esports,Cloud9,Lotus,0
2Game Esports,FURIA,Haven,0
2Game Esports,FURIA,Lotus,0
Team Vitality,Karmine Corp,Haven,1
Team Vitality,Karmine Corp,Bind,0
Team Vitality,Karmine Corp,Abyss,1
FNATIC,BBL Esports,Abyss,0
FNATIC,BBL Esports,Fracture,1
FNATIC,BBL Esports,Split,0
EDward Gaming,Nova Esports,Split,1
EDward Gaming,Nova Esports,Fracture,1
Trace Esports,Dragon Ranger Gaming,Pearl,1
Trace Esports,Dragon Ranger Gaming,Abyss,1
MIBR,100 Thieves,Lotus,0
MIBR,100 Thieves,Bind,0
Evil Geniuses,LOUD,Split,0
Evil Geniuses,LOUD,Pearl,0
Apeks,Gentle Mates,Pearl,0
Apeks,Gentle Mates,Haven,0
Team Liquid,KOI,Fracture,0
Team Liquid,KOI,Abyss,1
Team Liquid,KOI,Bind,1
Bilibili Gaming,Xi Lai Gaming,Haven,0
Bilibili Gaming,Xi Lai Gaming,Lotus,1
Bilibili Gaming,Xi Lai Gaming,Abyss,1
FunPlus Phoenix,Titan Esports Club,Abyss,0
FunPlus Phoenix,Titan Esports Club,Fracture,1
FunPlus Phoenix,Titan Esports Club,Pearl,1
Karmine Corp,Natus Vincere,Abyss,0
Karmine Corp,Natus Vincere,Bind,1
Karmine Corp,Natus Vincere,Lotus,1
BBL Esports,GIANTX,Lotus,1
BBL Esports,GIANTX,Haven,0
BBL Esports,GIANTX,Pearl,1
All Gamers,Nova Esports,Abyss,0
All Gamers,Nova Esports,Bind,0
JDG Esports,Dragon Ranger Gaming,Abyss,0
JDG Esports,Dragon Ranger Gaming,Haven,1
JDG Esports,Dragon Ranger Gaming,Bind,0
Xi Lai Gaming,Wolves Esports,Lotus,1
Xi Lai Gaming,Wolves Esports,Split,1
TYLOO,Titan Esports Club,Fracture,0
TYLOO,Titan Esports Club,Abyss,0
FURIA,MIBR,Bind,1
FURIA,MIBR,Abyss,0
FURIA,MIBR,Haven,1
KRÜ Esports,2Game Esports,Abyss,1
KRÜ Esports,2Game Esports,Bind,1
Xi Lai Gaming,Nova Esports,Bind,1
Xi Lai Gaming,Nova Esports,Sunset,0
Xi Lai Gaming,Nova Esports,Haven,1
Xi Lai Gaming,Nova Esports,Abyss,0
Xi Lai Gaming,Nova Esports,Pearl,1
LOUD,MIBR,Bind,0
LOUD,MIBR,Haven,0
Nova Esports,EDward Gaming,Sunset,1
Nova Esports,EDward Gaming,Ascent,1
Nova Esports,EDward Gaming,Haven,0
Nova Esports,EDward Gaming,Bind,1
LOUD,2Game Esports,Abyss,0
LOUD,2Game Esports,Haven,1
LOUD,2Game Esports,Ascent,0
Team Heretics,Gentle Mates,Haven,0
Team Heretics,Gentle Mates,Abyss,0
EDward Gaming,Trace Esports,Sunset,1
EDward Gaming,Trace Esports,Ascent,1
Xi Lai Gaming,Nova Esports,Abyss,1
Xi Lai Gaming,Nova Esports,Bind,1
NRG Esports,Bilibili Gaming,Split,1
NRG Esports,Bilibili Gaming,Ascent,0
NRG Esports,Bilibili Gaming,Abyss,1
MIBR,2Game Esports,Split,0
MIBR,2Game Esports,Pearl,1
MIBR,2Game Esports,Abyss,1
KRÜ Esports,FURIA,Abyss,0
KRÜ Esports,FURIA,Split,1
KRÜ Esports,FURIA,Bind,0
DRX,Bilibili Gaming,Bind,1
DRX,Bilibili Gaming,Abyss,0
DRX,Bilibili Gaming,Pearl,1
Xi Lai Gaming,EDward Gaming,Pearl,1
Xi Lai Gaming,EDward Gaming,Sunset,1
Trace Esports,All Gamers,Pearl,1
Trace Esports,All Gamers,Abyss,1
TYLOO,Nova Esports,Ascent,0
TYLOO,Nova Esports,Sunset,0
Trace Esports,Nova Esports,Split,1
Trace Esports,Nova Esports,Bind,0
Trace Esports,Nova Esports,Abyss,0
TYLOO,All Gamers,Pearl,0
TYLOO,All Gamers,Split,0
JDG Esports,Titan Esports Club,Bind,1
JDG Esports,Titan Esports Club,Abyss,1
Nova Esports,All Gamers,Abyss,1
Nova Esports,All Gamers,Sunset,1
JDG Esports,EDward Gaming,Ascent,0
JDG Esports,EDward Gaming,Split,1
JDG Esports,EDward Gaming,Sunset,0
Xi Lai Gaming,Titan Esports Club,Abyss,0
